item,frequency
▁आ,55495
वेदन,2101
▁करने,29856
▁की,197474
▁आख,2131
ि,41838
री,26707
▁त,25362
ारी,16551
ख,24724
▁3,10384
1,14120
▁जनवरी,1833
",",185205
▁20,3889
20,3504
▁है,215519
।,270047
▁इत,1927
नी,30218
▁दु,7137
आ,5276
▁कर,55587
▁दो,13819
▁हमारे,3347
▁लिए,49271
▁कि,89667
▁ज,27877
ित,43149
ना,49696
▁प,43761
्य,27033
ार,29477
▁दुनिया,3223
▁ने,108464
▁आपको,6254
▁दिया,21033
▁बस,3655
▁उ,24462
त,69027
▁ही,41650
▁हमें,2635
▁भी,67304
▁मिल,9049
▁जाए,6062
|,3820
”,2646
▁मोदी,6315
▁सरकार,16551
▁के,326040
▁पहले,14355
▁कार्य,7295
काल,3048
▁में,240292
▁तीन,6305
ला,36124
क,90482
▁को,156151
▁लेकर,10294
▁बिल,1826
▁ला,10941
या,31246
▁गया,30203
▁था,33178
▁हालांकि,3785
▁तब,3936
▁यह,31055
▁राज्य,7302
सभा,1067
▁पास,6962
▁नहीं,47279
▁हो,39876
▁पा,13574
.,116875
▁भाजपा,5326
▁दिव,2905
ंग,16866
▁नेता,4074
▁प्र,45861
मो,2796
द,59733
▁महा,4688
जन,8512
▁बे,8611
टी,19650
▁पू,5251
न,82236
म,71367
▁सचिव,1993
▁बनाया,2231
▁ऐसी,2848
▁स्थिति,2760
▁एक,54352
▁न्या,1468
य,39126
पूर्ण,3004
▁स,45256
ार्,8263
व,56696
िक,43661
▁वित,3166
्त,5887
▁का,123398
▁इस,49255
▁तरह,10485
▁इस्तेमाल,2618
▁करती,3036
▁सं,30708
सा,18285
ध,22662
नों,7097
वं,2868
टन,2327
▁सभी,8777
▁उप,9738
भ,14704
ोग,6020
▁वाले,12947
▁उत्पा,2307
दों,2990
▁व्यव,1350
हार,3180
ता,58041
▁और,115365
▁सम,12450
ग्र,2784
▁वृ,2199
ह,43485
-,51024
र्थ,1579
बंधन,2010
▁',8787
नि,5417
ष्,3570
पक्ष,1983
▁रूप,9091
',7598
▁बढ़ा,2555
ए,18917
▁दिल,2984
च,28573
स्प,2553
▁डी,4192
सी,26109
एल,2912
▁चे,4190
यर,3741
ैन,6737
▁टी,4193
▁व,39693
ें,33190
टर,10256
मन,2241
▁रे,4443
ड,42374
्,25121
डी,9698
ाइ,8910
स,66685
▁वि,24822
▁रवि,870
▁बैठक,3158
▁मौजूद,2610
▁थे,16362
▁आम,4580
▁चुनाव,7644
ती,37598
श,44692
▁कुमार,5307
▁ग,36340
ौ,15329
तम,2737
▁सबसे,7279
▁अधिक,7154
▁6,6218
▁लाख,5571
▁5,7139
6,11681
▁हजार,4114
▁21,1650
5,14463
ोट,5689
▁प्राप्त,2834
▁हुए,19421
▁आय,3654
रल,1797
ैंड,3688
▁टीम,7059
▁विकेट,1923
की,17173
पर,5120
▁बल्ले,1649
बा,11167
ज,55459
▁न,42267
िया,15094
ल,73155
▁ओ,6285
ब,49813
्र,28646
ाय,19945
▁अंतर,2607
्रा,5011
ष्ट,10046
्रीय,2260
▁क्रिकेट,2123
▁से,147346
न्,17636
यास,650
▁ऐ,3433
ान,24784
▁साल,12427
▁200,3033
2,14064
▁डे,3350
▁खिलाफ,6001
िव,7379
्यू,6412
▁ब्र,3972
▁उम,2209
▁किया,36546
▁सफल,2410
▁रहे,22741
▁हैं,80599
▁उन्होंने,16578
▁पीछे,1960
▁24,1723
▁शिक,1314
▁किए,5339
▁यहां,6512
▁तक,20845
▁पाकिस्तान,3638
▁खे,2485
ले,28802
▁गए,12596
़,7573
तिहास,2041
▁टेस्ट,1911
▁हिस्सा,1776
▁खेल,4159
:,14746
▁अ,41595
र्ज,2543
ुन,2466
▁कहना,3566
▁बॉ,3532
▁फ,27792
िट,6264
▁रखने,2198
▁जर,4135
ूरी,2897
▁ए,21497
क्,11827
सर,6634
इ,14322
▁वह,15288
▁कहते,2287
▁“,2417
▁आप,17748
▁जिम,1799
▁जा,28330
▁हों,1926
▁तो,35977
▁खुद,3199
▁बा,13541
क्‍,1674
ट,54280
वि,14641
▁जैसे,4753
▁सा,18351
किल,2045
िंग,12785
▁स्,11621
‍,10674
ॉ,20578
किंग,1879
▁इ,21952
ल्,8725
▁करें,6262
▁च,31084
▁लिये,2860
च्,1778
छ,4878
ा,42799
▁रह,8737
े,54459
▁कॉ,5317
म्,8456
प,55575
िटी,2055
स्‍,2695
पे,2560
▁आपकी,1960
ने,70044
▁हे,3495
▁करता,4857
फ,25845
र,58060
▁या,20473
▁कुछ,14730
?,7630
▁जब,10901
▁अपने,21005
▁लक्ष,2193
▁ख,28492
ोज,6496
ब्,3265
▁पहचान,1656
▁सकते,7764
▁अम,6243
ज़,10252
ॅ,1748
▁परि,6246
ण,33414
ाम,19851
ृ,7725
ष्ठ,2674
▁पर,100405
▁आपके,3491
▁कैसे,2466
▁प्रदर्शन,2980
▁लि,2931
स्ट,15873
▁अनु,7732
ूल,4862
▁बेहतर,1773
▁बनाने,4003
▁मौ,4830
जू,2519
दा,16025
ुट,2727
ियों,25168
▁ठीक,1935
क्ष,10588
▁होंगे,2399
▁अलग,3521
अ,9151
ग,35394
▁परी,770
क्षण,3166
▁करना,8588
▁चाहिए,6608
▁श,33284
ोध,4506
कर्,2380
ताओं,4449
▁अपनी,12437
▁सू,5845
ची,5909
ास,9822
▁शब्,1710
दान,6071
▁विश,1267
▁ल,22799
ं,41179
बी,11177
ूं,2367
▁मुकाब,1842
▁दूस,1563
रों,2107
ुल,12008
▁छोट,2030
▁हाल,4684
▁स्था,1902
पित,1934
ों,77433
▁र,29130
ैं,5570
▁ब,34770
ू,39588
▁सेवा,3074
▁व्याप,2485
▁कम,13662
▁प्रति,8908
र्,27536
धी,4257
▁ट्र,5410
ै,19425
फ़,3874
ष,14025
▁करते,12640
▁इसके,12187
▁जी,9492
आई,7163
जी,18255
▁शिक्ष,1965
कों,12021
रा,34875
▁तैयार,3423
▁करा,3462
▁जाएगा,5328
▁कौ,2454
▁क,42849
▁रि,5541
ायर,3360
▁रहा,18657
▁जवाब,2247
िल्,3577
▁मुद्,2316
▁,69104
V,1894
I,2887
D,1775
E,3506
O,2709
ाना,11036
▁दौरान,7360
▁स्कूल,3805
▁लगी,2250
▁आग,3174
▁4,8539
▁संप,2268
त्ति,1804
▁स्वा,1919
हा,10056
▁यू,4145
्रे,9213
▁प्रधानमंत्री,4026
चार,7124
ुक,3528
▁शुक्रवार,1881
▁राष्ट्रपति,1901
लो,5528
िम,9082
िर,7458
▁ज़,3848
ेल,8581
स्,19333
▁अपना,6071
▁इस्,2081
फा,2611
▁सौ,3275
ंप,5005
▁राजनीतिक,1849
▁द,31216
लों,5801
▁होती,5938
▁वे,12777
▁जनता,3258
▁ह,31985
▁कोई,12877
▁योजना,4630
▁चला,3748
ते,31425
▁जिन,3797
में,5202
दे,7306
▁होते,4255
▁बाद,23831
▁इंटर,2070
शनल,1661
▁अल,1895
र्ट,3532
▁जारी,5048
रे,18370
▁जहां,3955
▁जै,3541
ली,28416
ंडी,2802
ोल,9705
▁ड,14303
ांस,2015
ओं,9665
ड़,22056
का,24576
▁लगा,8725
▁नजर,3384
▁आए,4361
ंगी,1713
देश,5956
ी,44760
▁फाइ,1771
ेट,7723
▁तेज,2141
इट,3332
प्,6864
▁(,20876
),20736
र्स,7037
बे,2974
दार,8095
▁मे,12372
जर,3575
्म,6818
▁कहा,31235
▁सी,14728
तार,1856
▁भार,1056
द्,7158
वा,26014
▁पड़,4402
ो,44811
▁वर्,4342
मान,10360
▁पु,7892
स्त,12754
▁थी,18164
▁जो,21948
▁अभी,4338
से,14614
िस,12343
▁रख,7337
▁हुई,9785
जय,3886
शन,8198
▁मो,5641
हन,3759
▁राज,14415
वन,4392
▁दर,5104
बार,3624
ॉल,2044
ोह,2471
पाल,5148
▁जग,981
दी,13115
▁मुख,2014
▁पद,5322
▁गो,5660
थ,19518
िला,3621
ई,25769
▁राम,5217
▁रही,17657
▁विवाद,1789
▁मामला,2473
▁जिससे,2737
▁मैं,7232
चना,2605
▁चाह,4488
▁हूं,3360
▁ट,18873
था,2714
पुर,8814
▁लड़,4745
▁शादी,2481
▁इन,13558
कार,13136
▁युव,2807
▁बन,8537
▁दिल्ली,7748
▁|,5537
▁गि,2458
्ट,7553
▁-,6610
▁D,2174
a,21645
in,6613
i,19949
k,6013
▁B,2867
h,14101
s,18589
ar,5428
▁सु,15252
ंदर,3176
▁सब,6409
ु,43922
ुर,8251
ूप,2802
▁जबकि,4040
▁व्या,1206
▁पक्ष,2015
क्त,5618
▁आर,4969
क्षित,1703
यन,2776
▁होकर,1791
▁लाभ,2625
▁उठा,2757
▁चुके,2628
▁उच्च,2100
स्थ,2893
वान,3722
ृत,4150
▁सुविधा,1850
▁सम्,1988
न्न,3703
▁एवं,7332
▁ध,13651
ढ,3681
▁लोगों,13118
तान,2103
तर,8953
▁निय,2621
क्ति,3221
▁जिसके,3128
धिक,4065
ंक,4461
ड़े,7097
▁लेकिन,16307
▁लोक,3001
▁अव,4933
धार,4129
णा,3603
▁विचार,2715
▁एयर,1657
पोर्ट,1382
▁अधिकारियों,2504
▁बताया,10290
▁भारत,12697
ध्य,2708
र्व,2717
श्च,2212
▁य,7729
ूर,10115
ोप,1674
बल,2639
▁आई,7851
ड़ी,11466
▁वजह,3839
मा,18024
वर,13381
ऑ,498
▁ग्र,5994
▁7,5894
▁इंड,2067
्री,8309
िकल,1772
▁हम,15145
▁आधार,3756
द्धि,1910
▁दर्ज,4071
▁इसलिए,3864
क्रिया,1709
▁आगे,3897
धि,2826
▁जमा,1781
मेंट,3440
▁जि,4359
ंद,13888
गी,14267
▁जाती,4244
सान,2832
▁रिपोर्ट,3126
▁मा,11553
▁भारतीय,7244
▁अधिकारी,3630
▁विदेश,2474
▁आया,3748
▁क्योंकि,4177
▁घ,15823
लू,1761
द्योग,2353
▁सुरक्षा,3114
▁देने,6121
▁ऐसे,6373
▁बोर्ड,1869
ारा,9104
▁परीक्षा,2266
ाने,6445
▁फैसला,2154
▁लिया,7727
▁ज्यादा,6621
भाव,3645
एस,9255
पी,15101
ही,10842
▁ठ,4363
िका,7815
णी,5180
चे,6191
;,1492
▁तर,1619
▁तु,3551
ळ,4899
▁ये,12959
ंब,3240
्या,16564
▁झ,8566
ून,6588
▁नुक,1626
ाल,13699
▁बार,11524
▁उनकी,6845
▁म,42764
म्मी,292
ढ़,5834
▁गिर,1930
▁गई,16905
▁थीं,2238
▁उन्हें,8814
▁9,3944
चर,1997
▁इसी,5226
▁प्रकार,2728
▁पट,2028
्टी,2695
▁फ़,3188
िल,15084
▁भूम,2637
▁मना,2185
यू,2336
▁त्या,2372
▁आयोग,1787
▁घोषणा,1915
गत,5573
A,3270
▁समय,10144
▁बढ़,8566
तरी,1860
▁सवाल,3197
▁अमेर,1185
िकी,2198
वी,14301
▁निर्देश,2354
▁अभि,2302
▁नाम,9470
▁बता,7134
▁नव,1888
बर,6730
▁201,6787
7,12288
▁8,4609
▁वर्ष,7656
▁नि,20608
धन,1897
▁हुआ,10386
▁अन्य,5591
▁जान,6396
▁मामले,6479
▁मूल,2331
▁खबर,2957
▁पढ़,4642
▁जिस,6585
▁शी,2285
र्ष,2968
▁नी,7051
...,6725
▁फिल्म,8696
त्री,3062
उ,9873
चा,6736
▁स्वी,1708
▁मुझे,4077
▁खु,4968
▁देख,8483
▁पसंद,1640
▁इसे,4606
ारे,4819
▁साथ,27696
क्स,5913
ेशन,4691
▁मैंने,2674
▁उसने,3148
▁अगर,6333
▁ना,8073
▁कह,6166
▁दे,14972
▁भ,24470
▁मिले,3714
गा,17497
#,1407
▁स्क,2117
▁छात्र,3214
▁‘,10892
’,11178
ांच,1098
िशा,1826
▁भाव,2248
स्ता,5136
ाली,5935
के,18190
▁विधानसभा,2871
▁मत,4103
न्द्र,3695
▁जिसमें,3831
3,12328
▁विधायक,2243
▁देश,10963
मुख,668
▁पूरे,2631
▁क्षेत्र,8109
▁सर्,2199
▁प्रा,4632
थम,2049
ाला,5784
▁अति,2245
रिक,2193
▁नंबर,2011
ैसे,3219
तीय,1531
करण,3441
▁ग्रामीण,1902
▁चर्चा,2112
▁गांव,4904
▁जन,4589
प्र,7320
ति,17247
▁केवल,2766
▁सड़क,1943
▁समस्या,2871
▁पुर,2724
ानी,11791
▁आज,11430
▁पहुंच,6476
▁रा,9993
▁मह,8063
घ,8781
▁दूसरे,3568
न्ह,1991
ां,12906
▁जाता,8702
▁दोनों,6383
▁मार्,3081
िश,6718
▁होने,13622
जल,1881
▁हर,8309
▁पे,3295
▁बनी,1641
धा,3060
मी,7895
▁सफ,1988
▁तय,1966
▁बिजली,2686
▁उसके,6900
▁आने,4423
जा,16483
▁स्ट,7345
▁लग,5062
▁पंच,2706
ायत,1701
▁माध्यम,1949
▁मान,8221
▁गु,8347
▁समा,3517
धान,3626
टक,2421
ण्या,2599
वे,10677
नर,2008
ोर,8336
▁जून,1864
▁महीने,2743
▁थ,3068
ोक,3498
ाई,6510
कर,34128
▁प्रतिशत,2847
फे,1660
ियां,6556
▁पेट,1911
तों,4667
▁दें,3622
▁पिछले,4563
ड़ा,10071
4,11433
त्र,11976
▁0,2697
9,11021
0,16404
▁द्वारा,9270
ड़ों,2010
▁मुताबिक,3561
▁खा,4136
द्य,3361
ार्थ,3495
▁1,6533
8,11038
▁बना,7925
▁कांग्रेस,7668
ेत,5141
▁पार्ट,1147
▁18,2495
▁जु,8049
लाई,2720
▁शुरू,7094
▁मॉ,1691
ेर,4353
▁प्रयास,2098
▁करे,4197
▁वक्त,1875
▁पांच,3507
▁स्तर,2699
▁निक,3248
ष्य,2131
िय,12483
लिया,1935
▁उस,9715
▁मैच,4016
▁रन,3178
▁2,12210
▁ढ,3447
▁होगा,8314
▁हमेशा,1665
तंत्र,1992
▁जाये,1859
▁बात,14747
▁सकती,4510
स्था,3463
एं,7251
▁चल,6019
▁शर्,653
भी,2380
▁सकता,8055
▁व्यक्ति,3269
▁स्व,6709
राज,3257
भव,2687
▁उसे,6586
▁लगे,3025
▁जीवन,3634
▁मन,6362
▁भर,4073
▁समाज,3568
▁परिवार,3900
▁होना,2611
▁राजनीति,1855
▁आवश्यक,1864
ंस,6137
ूस,3398
▁ऊपर,1800
▁होता,8606
▁मुख्य,3460
▁दिखा,3823
▁यही,2543
स्क,3371
ृति,2156
▁हा,4409
▁फिर,8731
▁क्या,7071
▁ऐसा,5387
▁सो,6798
▁गल,2297
▁दिख,2377
▁दल,3055
▁बारे,5459
▁गांधी,3375
झ,5206
▁हमारी,1733
▁उम्मीदवार,1862
▁निर्,4496
▁छ,12753
ूट,4436
▁बाव,1684
जूद,1753
▁बहुत,8085
यी,2297
▁किसी,11614
▁पार्टी,6881
▁चि,3150
▁यदि,3080
▁तरी,2191
▁अन,5364
वार,9440
▁माह,2580
▁बदल,2408
पो,1626
▁काम,11037
▁उनका,4032
▁अब,13863
▁बाजार,3109
▁व्यवस्था,2216
▁लोग,8604
ये,6471
▁सामान,2064
▁इसका,3598
▁महत्व,2086
▁कंपनी,4894
ओ,5486
▁उनके,10065
ुक्त,3654
▁औ,2281
▁तौर,2871
▁उत्तर,3374
दाय,1635
्व,3021
▁बद,2429
ः,2670
इन,4307
▁विरोध,2551
▁बोल,2021
कि,3328
▁उसका,2589
▁सही,2179
र्जी,1808
▁दि,2440
ग्,2886
▁हु,2493
बाद,4001
▁एस,5257
▁जानकारी,4909
▁पुलिस,12544
▁दी,16331
▁करवा,2352
▁देखने,2169
▁लगता,2102
▁हत्या,2405
जे,4921
▁पोस्ट,2005
ार्ट,2595
ेज,3647
▁A,3926
u,12582
st,2756
r,13267
al,3506
an,5836
n,7105
e,33174
w,6224
p,11155
er,5914
d,11298
f,5940
es,4536
c,11214
it,2577
ic,2408
m,9768
t,16360
▁S,4235
en,3912
W,1850
l,13743
o,20118
on,5101
▁कार,8138
्ड,3597
▁बचा,2405
▁कै,7174
▁छा,2609
पा,10309
ंभ,1705
शा,3773
▁साम,4643
ग्री,1789
▁सिर्फ,3281
▁अंग,1829
श्,12220
▁अलावा,3844
तरा,1905
वाल,6732
▁पूरा,3264
▁पहली,3160
▁रुपये,5763
▁19,5184
▁लगातार,2293
लेज,1794
ज्ञान,2021
▁बी,8640
▁ता,5961
▁मार्च,1707
▁/,1814
▁अप्र,1898
ैल,2930
▁आयोजित,2004
▁डॉ,5343
ाह,4931
पन,3647
▁यून,1987
ीड,649
▁जाएगी,2716
▁ऑ,6303
▁टे,2524
(,1423
B,1800
U,2039
▁T,2482
b,6561
▁2019,1759
▁गै,2773
▁पूर्व,5556
ल्प,3029
ंख,2095
▁पत्र,2796
▁डा,3242
रण,4703
धे,1740
क्ट,6631
▁करेंगे,2987
▁पी,8810
एफ,2146
▁संग,4529
ठन,2310
▁भाग,2895
▁सर्व,2661
को,8491
▁पक,2054
▁मु,16843
▁मौत,3151
▁अवसर,2073
▁विभाग,4821
▁क्र,3927
▁तथा,7017
▁रुपए,3898
चित,4289
▁अस,5068
▁कल,3403
▁बैठ,2914
▁क्रिक,423
▁बने,2331
रान,1899
▁खान,2923
▁पीएम,1848
एन,2561
▁प्रमुख,2759
▁शाह,2453
▁शरी,418
ठ,14203
हरी,1935
ंसा,1667
▁अध्यक्ष,5062
▁C,3458
िता,5197
ंत,7086
▁मोबा,1701
इल,2071
टा,8495
ंज,2864
▁14,2247
▁फीसदी,3194
▁प्रदेश,8182
म्म,3692
त्ता,2758
र्ण,2627
▁कंप,706
ूबर,1725
▁16,2066
g,6604
▁वा,6526
क़,1977
बू,2041
▁I,2850
or,4515
▁कहीं,1849
▁बाहर,3656
▁जाना,2535
▁यात्रा,2044
▁पड़े,1718
▁नौ,3389
करी,1930
▁वहीं,5156
▁कीमत,2025
▁ली,5245
▁कमी,1967
▁मध्य,2749
/,4973
▁बीजेपी,2648
कत,1978
▁फीस,666
▁बैंक,3298
▁लगभग,2358
▁ले,12904
▁किस,1953
▁निवेश,1950
▁क्यों,2297
▁सहयोग,1658
▁अग,4446
▁सीमा,1776
▁समझ,4633
▁चु,3550
▁इसकी,2843
त्रा,2649
▁भु,1915
▁याद,1737
▁कभी,3672
▁निर्ण,1707
▁लेने,2840
▁पेश,2691
▁अच्छी,2004
▁वी,1737
डल,1852
ल्स,1733
िति,848
▁बाल,2642
▁विकास,4560
▁15,3665
00,6668
▁करोड़,5946
▁N,2960
▁हिंद,1637
्ला,4108
▁नागरिक,1745
▁केंद्र,3465
▁जांच,4055
▁संघ,3174
▁10,5331
ायल,2229
▁बि,4750
िए,5643
▁उपलब्ध,2172
▁किसान,1556
▁रहने,2999
▁मिन,1779
▁बदला,1766
भाग,1127
▁अस्पताल,2370
▁रै,1794
ंड,13812
हरा,3144
हर,5891
्ल,6169
डा,2692
▁ऑफ,3335
▁वहां,3339
▁हाथ,3540
▁दूर,3131
ोड़,918
▁बड़ा,3107
▁बनाए,2057
▁चाहते,2329
ूब,2167
किन,837
▁जरूर,1241
ांति,1660
ूत,2141
भा,7117
▁दिन,9695
१,1462
४,327
९४७,17
▁सुबह,2603
▁बजे,2692
▁12,3790
▁प्रश,2100
ांत,2088
▁पो,1714
▁मजबू,1675
िले,1437
▁दोस्त,1636
▁योग,3838
▁मिला,3765
▁पूरी,4374
त्य,3396
▁ई,6234
▁एम,2649
एम,5823
बंध,2504
▁सुर,2868
ेश,8443
▁रंग,2823
▁कुल,3435
▁आदि,3378
▁सामने,4567
▁फैस,1514
▁रहते,1829
