item,frequency
##ाद,7952
##कार,9199
बन,7440
दिल्ली,8004
Dai,117
##nik,118
B,769
##has,136
##kar,173
##ंदर,3399
सबै,2
##ुर,14799
##ूप,3576
जबकि,3999
##क्त,7626
आर,14112
होकर,1745
##क्षण,1120
##ठा,6205
उच्च,2262
##्थ,11777
##नि,11974
##ृत,5263
##धा,9173
##पन,8262
एवं,7140
ध,17053
##ढ,2746
लोगों,12915
##तर,7915
##िय,6675
##ुक्त,3523
जिसके,3122
आधिकारिक,505
##ड़े,8269
लेकिन,16262
लोक,2949
##धारण,757
विचार,2663
##ष्ट,4538
##यर,6503
##ोर्ट,5286
अधिकार,7803
##नेट,907
भारत,13369
मध्य,2847
##पूर,3340
पश्चिमी,473
##ूर,12438
सब,6335
##री,22773
आई,8262
##ड़ी,10152
##वर,11720
##ऑ,273
##्रो,10855
##्छ,5081
7,2894
##स्ट,9840
##्री,10616
##िकल,4770
##ाना,3278
आधार,2906
##ृद्धि,1339
इसलिए,3818
प्रक्रिया,1612
आगे,3825
##ाव,16167
##धि,8863
##में,5675
##िं,14245
जाती,4275
##िप,11920
भारतीय,7278
##ात,14326
क्योंकि,4239
घर,8310
##द्य,6174
सुरक्षा,3103
देने,5985
ऐसे,6264
##ोर्ड,2106
##क्षा,5892
##ाने,6532
लिया,7608
##्यादा,7507
##वन,5679
##पी,14814
##स्त,16924
काही,304
##णी,3306
##चे,6576
##ाणी,379
##ीत,4111
घ,19861
##सले,2077
;,1142
तर,7457
##ळ,1875
येथे,230
##ावर,1203
##्याचे,275
झ,7545
##डून,381
झाले,452
बार,12269
उनकी,6767
##मी,11989
गई,16661
थीं,2221
उन्हें,8959
9,2213
इसी,5157
प्रकार,2655
##ज़,8200
##्टी,4132
भूमि,1112
दिवस,1891
##दय,1487
त्या,1916
आयोग,1747
घोषणा,1883
##ाग,7830
DA,25
समय,10124
##वाल,8771
##ेर,6388
अमेरिकी,1093
##वी,7961
निर्देशक,363
अभिनेता,656
नाम,8701
##िन,18686
नवम्बर,353
2017,1616
86,193
वर्ष,6113
हुआ,10193
अन्य,5786
##नक,2948
मूल,2357
##बर,10678
जिसका,1154
##ीर,6885
नीचे,1571
फिल्म,9012
अभिनेत्री,538
##उ,6968
##्वी,5749
उसने,3082
##झ,11401
दे,31695
##ंद,25639
इसे,4528
साथ,28096
##अ,4152
##िले,6749
##गर,12497
##हे,4376
##ुरा,5112
#,1176
जिस,5461
छ,21001
##ात्र,5507
##ध,23221
##ंच,18444
##िशा,3395
शक्ति,1392
##शा,9813
विधानसभा,2818
##ृष्टि,986
##खे,5695
##दान,4604
केन्द्र,1224
जिसमें,3802
2013,690
देश,10841
##रे,18045
क्षेत्र,6587
सर्व,4032
##ाधिक,1977
##ास,16232
##कीय,991
प्राथमिक,1010
##ाला,2814
अतिरिक्त,1220
##टी,8174
नं,2711
##करण,2571
##्राम,5438
##ण,21152
##र्च,5454
गां,8804
##ति,11115
केवल,2695
वर्षों,962
आज,12452
##ोर,13812
##घ,8090
##ाट,4971
दूसरे,3883
##ंचा,5325
जाता,8482
दोनों,6297
मार्ग,1524
##ाई,9069
##िश,12258
होने,13413
##्दी,2723
जल,5832
हर,13068
बनी,1608
##हती,1827
किमी,316
उसके,6755
जाने,8822
##यत,5125
माध्यम,1991
अनेक,1130
##धान,2809
##मध्ये,514
करण्यात,523
आले,615
जून,1914
##ही,15866
थ,4238
##ोक,8267
##ंगा,5582
5,5020
77,199
प्रतिशत,2814
##जा,14121
##मत,7510
##ड़ा,11087
43,314
ये,12487
मात्र,1014
0,1539
90,612
द्वारा,9062
##ुत,6941
खा,8634
पदार्थ,575
1,5829
80,665
मई,1453
60,881
बना,10613
##्रेस,11066
##ेत,5872
18,2040
जुलाई,1553
शुरू,6940
##ॉन,3561
##ून,10021
##त्र,11140
स्तर,3122
##ष्य,2250
लोकप्रिय,650
##म्भ,776
उस,11341
##ैच,4727
एका,713
230,53
ढ,3494
अक्सर,824
##ुना,3921
होगा,8050
##ेश,16717
##ंत्र,12489
##ये,12660
बात,14613
सकती,4422
संस्था,1570
न्यू,3003
##थे,885
सकता,7837
व्यक्ति,3927
##्वर,3320
उसे,6470
जीवन,3645
भर,8129
समाज,3536
परिवार,3901
होना,2548
आवश्यक,847
ऊपर,1888
##ाल,17651
होता,8398
मुख्य,8964
