item,frequency
आ,2923023
व्,609036
ए,2265983
द्,594037
अ,9881544
न्,1303043
क्,2169031
र्,2087173
ई,1426662
ख्,164299
इ,1397928
त्,955331
ज्,542644
ह् ,1107616
ऐ,427272
उ,572890
ओ,874250
म्,1029320
ल्,897830
प्,785275
य्,733914
ब्,512036
स्,1253059
अं,1188498
भ्,224921
ग्,468041
थ्,178812
ट्,310457
ऊ,211928
च्,266323
ण्,88193
ध्,157678
औ,178347
ष्,122398
ढ्,30909
ड्,236437
ठ्,42320
श्,290246
फ्,141434
छ्,60334
ऑ,50271
ऍ,1733
घ्,41275
ळ्,4857
झ्,22753
ञ्,6474
अः,2572
ऋ,1537
ङ्,308
ऎ,127
ॠ,19
