item,frequency
आ,518713
व्ए,30943
द्अ,199449
न्अ,576728
क्अ,642193
र्अ,1164091
न्ए,307775
क्ई,246760
ख्अ,101775
इ,518462
र्ई,116326
त्अ,350846
ज्अ,246606
व्अ,243610
ह् ऐ,296118
न्ई,81452
द्उ,10360
द्ओ,24828
ह् अ,319472
म्आ,116741
र्ए,77350
ल्इ,89931
ए,415423
क्इ,185483
न्आ,162402
प्अ,435075
य्अ,245015
न्इ,57818
य्आ,247213
क्ओ,202105
द्इ,70168
ब्अ,282407
स्अ,549795
उ,244261
ह् ई,136369
म्ए,285742
भ्ई,86615
म्इ,33864
ल्अ,421939
ज्आ,117175
म्ओ,18164
द्ई,45359
क्आ,301622
क्ए,402872
ल्ए,120725
र्य्अ,16485
त्ई,72255
ल्आ,125627
ब्इ,17753
ग्अ,211303
थ्आ,44603
ह् आ,115117
अंक्इ,8007
र्आ,149712
ज्य्अ,7302
भ्आ,67329
प्आ,67426
ह् ओ,94168
अंग्अ,40905
त्आ,155923
प्र्अ,100061
म्अ,390011
ब्ए,17329
ट्ई,35652
प्ऊ,27245
च्इ,9432
ऐ,60205
स्ई,69443
स्थ्इ,7550
त्इ,54398
न्य्आ,3572
र्ण्अ,7338
व्इ,96208
स्त्ए,2618
स्आ,112186
ध्अ,58513
न्ओ,21499
ट्अ,156405
भ्अ,59943
ओ,220285
व्आ,143432
त्प्आ,2307
व्य्अ,11465
औ,137436
ग्र्अ,8778
र्थ्अ,9379
ब्अंध्अ,4514
क्ष्अ,29325
र्ऊ,19433
ढ्आ,2555
च्अ,99111
स्प्अ,8687
ड्ई,29388
च्ए,10381
ड्अ,67232
ब्ऐ,14188
ठ्अ,29429
म्औ,13184
ज्ऊ,8746
थ्ए,16362
च्उ,20030
श्अ,177404
क्उ,31243
स्ए,212670
अ,253205
ध्इ,21863
प्र्आ,7466
प्त्अ,5462
ह् उ,61919
अंड्अ,21397
ल्ल्ए,1649
ब्आ,102525
अंत्अ,13640
ष्ट्अ,10146
क्र्इ,4255
ड्ए,19520
ख्इ,8672
फ्अ,79008
य्ऊ,14880
ब्र्अ,3972
ह् ए,28947
न्ह् ओ,16578
अंन्ए,20902
प्ई,32589
छ्ए,1960
श्इ,20804
स्त्आ,10295
ख्ए,6644
ग्ए,23991
ट्ए,11406
स्ट्अ,27134
ह् इ,32480
स्स्आ,1776
र्ज्अ,6614
ब्ऑ,3532
ऊ,104432
त्ए,78292
ज्इ,40800
त्ओ,40644
ख्उ,8167
ज्ऐ,8294
ऑ,34628
य्ए,35055
छ्अ,41061
क्ऑ,5317
प्ए,14355
च्आ,46299
ऍ,1819
र्इ,39345
ण्अ,64204
ष्ठ्अ,4473
क्ऐ,9640
र्श्अ,3440
न्उ,13735
द्आ,48503
य्ओ,62506
ठ्ई,4996
अंग्ए,15421
स्ऊ,8203
च्ई,11482
ब्ई,29310
म्उ,49413
द्ऊ,10707
र्ओ,36519
छ्ओ,4718
स्थ्आ,13814
प्इ,11311
व्य्आ,3691
ध्ई,4257
ट्र्अ,7149
ष्अ,29830
ज्ई,36964
ई,147795
त्ऐ,5722
ग्आ,60639
क्औ,2454
द्औ,10711
स्क्ऊ,3805
ग्ई,40968
स्अंप्अ,2268
त्त्इ,1804
स्व्आ,3941
ध्आ,27598
म्अंत्र्ई,15481
श्उ,14811
क्र्अ,13384
ष्ट्र्अ,3736
ल्ओ,41787
फ्आ,4382
स्औ,3275
अंप्अ,5005
द्ए,85192
अंट्अ,16116
र्ट्अ,15223
ल्ई,57249
अंड्ई,2802
अंस्अ,13301
अंग्ई,1713
र्स्अ,7037
प्उ,35044
स्त्अ,17089
थ्ई,20402
ज्ओ,24808
ग्ओ,18778
थ्अ,58551
म्ऐ,19295
ह् ऊ,3360
श्आ,23766
य्उ,7350
ल्ल्ई,8116
ग्इ,7012
स्उ,30532
अंद्अ,21760
क्त्अ,11147
क्ष्इ,3324
ठ्आ,4400
च्च्अ,4839
स्थ्अ,6343
र्त्अ,4150
न्न्अ,5961
ढ्अ,7128
क्त्इ,6490
अंक्अ,7759
ण्आ,7657
प्ओ,9853
ध्य्अ,13368
र्व्अ,10934
श्च्अ,2212
द्ध्इ,1910
क्य्ओ,6474
घ्अ,35948
ल्ऊ,1761
द्य्ओ,2353
क्ष्आ,12437
ब्ओ,8048
र्ड्अ,8084
फ्ऐ,6396
ज्य्आ,6621
ण्ई,5180
त्उ,5879
ळ्अ,4899
अंब्अ,6348
झ्अ,18405
म्म्ई,4085
न्ह् ए,10559
भ्ऊ,2637
त्य्आ,7198
घ्ओ,3123
व्ई,23975
र्द्ए,2354
भ्इ,6608
र्ष्अ,10624
न्य्अ,5591
म्ऊ,2331
श्ई,9388
फ्इ,18843
ल्म्अ,8696
त्र्ई,3062
स्व्ई,1708
झ्ए,5069
स्अंद्अ,1640
क्स्अ,7708
स्क्अ,5488
छ्आ,5823
त्र्अ,31305
अंच्अ,23543
न्द्र्अ,3695
क्ष्ए,8109
न्अंब्अ,2011
ग्र्आ,1902
म्ई,21387
र्च्आ,2824
अंव्अ,4904
ड्क्अ,2733
स्य्आ,3194
न्ह् अ,2660
प्अंच्अ,2706
ग्उ,12821
ण्य्आ,2599
फ्ए,3971
ड्आ,23875
द्व्आ,9270
ड्ओ,2010
ख्आ,24680
द्य्अ,3361
अंग्र्ए,7668
ज्उ,8049
म्ऑ,1691
ष्य्अ,2131
त्अंत्र्अ,1992
स्व्अ,6709
श्य्अ,3253
ख्य्अ,8198
र्त्इ,2156
क्य्आ,7071
स्ओ,12682
अंध्ई,3375
य्ई,4840
र्ट्ई,6881
त्व्अ,4946
क्अंप्अ,7827
त्औ,2871
त्त्अ,3374
र्ज्ई,1808
ज्ए,14887
अंभ्अ,1705
ग्र्ई,1789
स्इ,32762
र्फ्अ,4415
र्उ,22060
ज्ञ्आ,2021
र्च्अ,4588
ड्ऑ,5343
ग्ऐ,2773
ल्प्अ,3029
अंख्अ,2095
ध्ए,1740
क्ट्अ,11102
स्अंग्अ,4529
अंस्आ,1667
ट्आ,8495
अंज्अ,2864
फ्ई,11437
म्म्अ,4798
त्त्आ,2758
ब्ऊ,3716
त्र्आ,4693
न्औ,3389
भ्उ,1915
च्छ्ई,2004
ल्स्अ,1733
अंद्र्अ,10368
स्अंघ्अ,3174
ब्ध्अ,2172
र्ऐ,1794
अंत्इ,1660
त्य्अ,3396
र्अंग्अ,2823
ष्आ,2888
र्म्अ,16663
त्म्अ,5147
व्ओ,7066
न्द्अ,4094
ल्क्इ,2423
अंद्ई,3397
प्ऐ,5932
अंह् अ,13700
र्थ्इ,1792
अंब्ई,2742
अंध्अ,5351
श्व्अ,4209
ड्इ,11996
ल्औ,1721
श्ए,6939
च्य्आ,2091
भ्ए,2100
ध्य्आ,2547
श्र्अ,1834
द्ध्अ,8119
फ्ओ,4028
व्उ,1660
क्ल्अ,1806
र्ग्अ,1729
र्ह् अ,1712
ख्य्आ,798
म्र्त्अ,1676
अंक्आ,2692
ग्ऊ,1964
अंत्र्अ,3444
श्र्ई,6231
श्म्ई,2340
म्अंग्अ,2355
ष्ट्र्ई,2999
ज्ञ्अ,4499
स्थ्य्अ,2155
अंच्ए,1992
त्न्ई,1994
श्ओ,3786
ऋ,1587
ब्अंद्अ,4270
ध्ओ,1872
श्म्अ,876
र्क्अ,3572
म्म्आ,2020
ब्उ,7900
र्र्अ,2323
प्अंज्आ,2173
स्अंख्य्आ,2492
अंट्ए,2049
प्र्ए,2975
च्छ्अ,3883
व्ऐ,3673
ग्औ,1772
म्अंत्र्आ,1700
र्म्आ,6075
क्श्अ,2016
स्अंब्अंध्अ,4496
प्त्आ,3721
ट्र्ए,2402
ब्ल्अ,2139
न्य्ऊ,2343
अंद्र्ई,1741
स्म्अ,2068
ख्अंड्अ,1890
स्य्अ,2007
स्अंय्अ,2092
च्औ,5884
ल्ड्अ,2709
फ्त्अ,1628
ल्द्अ,1765
अंद्आ,2669
अंग्आ,3134
स्ऐ,2227
ष्ण्अ,1884
न्ऊ,2054
फ्त्आ,2037
प्र्ओ,2998
म्अंद्इ,2780
म्अंत्र्अ,1230
ग्अंभ्ई,1870
द्य्आ,2521
ट्ऐ,1739
च्च्ओ,3049
त्अंक्अ,2103
