item,frequency
▁हों,4325
▁तो,35977
▁खु,8167
▁बा,21990
‍,16863
▁जैसे,4753
▁सा,24044
िंग,12785
▁स्,27406
ल्,18843
▁करें,6262
▁च,49496
▁ल,41479
िये,5874
च्,1778
▁रह,13565
▁कॉ,5317
म्,8456
▁ह,43321
▁करता,4857
फ,52069
▁या,22517
▁कुछ,14730
?,7630
▁जब,10901
▁अपने,21005
ोज,12501
ब्,7436
▁पह,9330
▁सकते,7764
▁अम,9564
ज़,10252
ॅ,1748
▁परि,10146
ाम,21583
ष्ठ,4473
▁पर,105576
के,35628
▁क,77408
ैसे,5685
दर्,5849
शन,15315
▁लि,7879
▁अनु,7732
ूल,10998
जू,2519
दा,16025
ियों,31169
▁ठ,7941
ी,94940
गे,11350
▁अल,5416
अ,9151
▁करना,8588
▁चाहिए,6608
▁श,64922
ोध,4506
कर्,4252
ताओं,6209
▁अपनी,12437
▁सू,8203
ची,5909
ास,18227
दान,6071
▁विश,4757
ं,62302
बी,11177
ूं,5727
▁मु,32822
का,40687
▁दूस,7576
ुल,17935
▁छ,17471
था,4616
ैं,5570
वा,51473
▁कम,15629
▁प्रति,11755
धी,7632
▁ट्र,5410
ष,26677
▁करते,12640
▁इसके,12187
▁जी,16870
आई,7163
जी,21902
▁शिक्ष,4759
कों,12021
रा,53423
▁तैय,4581
▁जाएगा,5328
▁रि,8667
▁रहा,18657
िल्,3577
द्,9474
V,1894
I,5737
D,3949
E,3506
O,2709
ाना,17212
▁दौरान,7360
▁स्क,5922
गी,19233
▁4,8539
त्,20389
▁यू,4145
्रे,11615
▁प्रधान,5490
मंत्री,5374
चार,11478
ुक,5154
▁शु,5125
क्र,6474
वार,26349
▁राष्ट,6835
लो,5528
िर,10238
ेल,14516
▁अपना,6071
ंप,5005
▁राज,18154
तिक,4597
लों,5801
▁होती,5938
▁वे,12777
▁कोई,12877
▁योजना,4630
िन,14827
में,12473
दे,7306
▁होते,4255
▁बाद,23831
▁इं,5461
र्ट,6973
▁जारी,5048
रे,27723
हां,7877
ली,34262
ोल,11726
ओं,13546
ड़,26799
▁लगा,15064
जर,6959
▁आए,4361
देश,13084
ेज,5788
प्,10585
▁(,20876
),22491
र्स,7037
दार,8095
▁मे,17738
्म,15018
▁कहा,31235
▁सी,19462
तार,4149
▁भार,1056
▁पड़,4402
▁वर्,6071
मान,10360
▁पु,7892
स्त,14390
▁थी,20402
▁जो,21948
▁अभी,4338
से,19362
िस,14262
▁हुई,9785
▁मो,9053
वन,8026
▁दर,5104
पाल,5148
▁जग,4426
दी,22713
▁मुख,2014
▁पद,5322
▁गो,5660
थ,31282
िला,7386
ई,35042
▁राम,5217
▁रही,17657
वाद,6356
▁माम,4001
▁जिस,16281
▁मैं,9906
चना,4963
▁चाह,6817
▁ट,23014
पुर,8814
▁लड़,4745
▁शा,4839
▁इन,13558
कार,18201
▁यु,7350
▁बन,8537
▁दिल्ली,7748
▁|,5537
्ट,10248
▁-,6610
a,37657
in,9009
i,28430
k,6013
B,4667
h,14101
s,25881
r,29124
▁सु,24550
ंद,31724
▁सब,6409
ुर,10975
ूप,2802
▁जबकि,4040
क्त,11147
▁आर,4969
कर,39360
▁उठ,5238
▁चु,12386
च्च,3477
स्थ,9812
वान,5469
ृत,5826
धा,5057
न्न,5961
▁एवं,7332
▁ध,23340
ढ,7128
▁लोगों,13118
िय,22022
क्ति,6490
ंक,6564
ड़े,12016
▁लेकिन,16307
▁लोक,4951
▁अव,7006
धार,7885
णा,7657
पोर्ट,4508
▁अधिकार,4188
▁बताया,10290
▁भारत,12697
ध्य,7451
र्व,5378
श्,14432
▁य,19177
ूर,16494
▁आई,7851
ड़ी,11466
जह,4024
मा,24898
वर,13381
ऑ,498
▁ग्र,7896
▁7,5894
▁इंड,4876
्री,12282
द्ध,10029
▁दर्ज,4071
लिए,4506
▁जि,6370
▁जाती,4244
सान,6531
▁मा,13547
▁भारतीय,7244
▁क्योंकि,4177
▁घ,18946
द्य,5714
▁सुर,5982
क्षा,9643
▁देने,6121
▁ऐसे,6373
▁बो,6027
र्ड,6138
ारा,11061
ाने,6445
▁फै,6396
▁लिया,7727
▁ज्यादा,6621
भाव,6220
एस,9255
पी,19733
ही,20877
िका,9951
णी,5180
चे,6191
;,1492
▁तर,4542
ळ,4899
▁ये,12959
ंब,5982
▁झ,8566
ून,12493
▁बार,11524
▁उनकी,6845
▁म,100619
म्मी,4085
ढ़,9077
▁गिर,4554
▁गई,16905
▁उन्हें,8814
9,16724
▁इसी,5226
▁भ,40956
ूम,6487
ोष,5043
गत,5573
A,7196
▁समय,10144
वाल,9929
ेर,7674
वी,20887
▁निर्,11315
▁अभ,6970
▁नाम,9470
▁बता,7134
बर,11412
▁201,11264
7,14128
▁8,4609
▁वर्ष,7656
▁नि,22558
▁हुआ,10386
▁अन्य,5591
▁जान,6396
▁मामले,6479
▁पढ़,4642
▁नी,7051
...,8650
▁फिल्म,8696
त्र,18252
उ,9873
चा,11965
झे,5069
▁देख,10652
▁इसे,4606
▁साथ,27696
क्स,7708
ेशन,4691
▁उस,19206
▁अगर,6333
▁ना,9947
▁दे,25818
गा,17497
#,1407
▁छा,5823
▁‘,10892
’,11178
ांच,4605
िश,11195
▁भा,12072
स्ता,5136
ाली,5935
धान,6923
▁मत,4103
द्र,6786
3,14432
▁विध,4227
▁देश,12761
मु,6379
▁क्षेत्र,8109
ाला,5784
ंबर,5119
तीय,1531
ामी,4988
▁गांव,4904
प्र,7320
वल,5033
ानी,17231
▁आज,11430
▁पहुंच,8468
▁रा,20220
▁मह,12106
घ,11955
न्ह,3736
▁जाता,8702
▁दोनों,6383
▁मार्,4788
▁होने,13622
▁हर,10605
मी,7895
▁बि,12366
▁उसके,6900
▁आने,4423
जा,18656
▁स्ट,7345
▁लग,9522
ंच,11113
▁मान,8221
▁गु,10084
▁समा,7085
ोर,8336
▁थ,6621
ोक,5825
ाई,6510
ियां,6556
तों,4667
▁पिछले,4563
ड़ा,15168
▁द्वारा,9270
ताब,4555
▁खा,4136
▁1,27849
8,16251
▁कांग्रेस,7668
ेत,5141
▁पार्ट,1147
▁जु,8049
▁शुरू,7094
▁करे,4197
▁निक,6894
▁मैच,4016
▁होगा,8314
ेश,18608
ंत्र,8366
ये,10459
▁बात,14747
▁सकती,4510
स्था,5679
एं,7251
▁चल,8316
भी,8066
▁सकता,8055
▁स्व,6709
▁उसे,6586
▁मन,6362
ंस,8382
ूस,3398
▁ऊ,4665
▁होता,8606
▁मुख्य,3460
▁दि,8640
खा,15042
▁हा,9775
▁फिर,8731
▁क्या,7071
▁ऐसा,5387
▁सो,12682
▁बारे,5459
▁गां,3759
झ,5206
ूट,4436
▁बहुत,8085
यी,4840
▁किसी,11614
▁पार्टी,6881
दि,7906
▁अन,5364
ाह,12117
▁बद,6603
पो,1626
▁काम,11037
▁उनका,4032
▁अब,13863
जार,4544
▁लोग,8604
▁साम,6707
त्व,4946
▁कंपनी,4894
ओ,5486
▁उनके,10065
▁औ,2281
ौर,8591
ः,2670
इन,4307
रो,8150
▁हु,2493
बाद,4001
▁एस,5257
▁जानकारी,4909
▁पुलिस,12544
▁दी,16331
त्या,4826
जे,10377
ार्ट,2595
u,12582
t,28915
l,17249
an,5836
n,16118
e,47536
w,6224
p,11155
d,17326
f,5940
c,13622
m,12739
S,8019
W,1850
o,32705
▁कार,12379
्ड,5571
▁कै,7174
▁सि,14692
र्फ,4415
▁अला,4082
▁रुपये,5763
▁19,5184
ज्ञ,4812
▁बी,11288
▁ता,7754
/,6787
▁अप,8458
▁डॉ,5343
ीड,7638
▁ऑ,9638
(,1423
U,2039
T,5151
b,6561
▁पूर्व,5556
▁पत्र,5133
