Text,Frequency
अ,1703
आ,713
क्,541
ए,533
र्,488
इ,375
न्,352
ई,334
ह् ,310
अं,301
स्,296
त्,262
म्,257
ओ,212
य्,207
ल्,206
प्,189
ज्,167
व्,160
द्,134
उ,129
ऐ,126
ब्,114
ट्,100
ग्,88
च्,72
श्,56
ऊ,52
भ्,50
ध्,48
औ,46
ड्,45
ष्,39
ख्,35
थ्,33
फ्,28
ऑ,17
ण्,13
छ्,13
झ्,8
ढ्,7
घ्,7
ठ्,6
ड़्,4
ऍ,2
ढ़्,2
ळ्,1
अः,1
